,City,Cloudiness,County,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tiksi,20,RU,1573711176,98,71.64,128.87,-12.18,0.98
1,Soddy-Daisy,1,US,1573711176,100,35.24,-85.19,32.0,5.53
2,Huilong,54,CN,1573711177,57,31.15,106.5,63.03,4.03
3,Bredasdorp,37,ZA,1573711177,77,-34.53,20.04,62.6,4.7
4,Mar del Plata,43,AR,1573711177,40,-46.43,-67.52,59.88,15.95
5,Jamestown,0,AU,1573711177,27,-33.21,138.6,72.52,12.35
6,Nador,0,MA,1573711177,76,35.17,-2.93,57.2,1.12
7,Punta Arenas,75,CL,1573711177,87,-53.16,-70.91,46.4,5.82
8,Ushuaia,40,AR,1573710994,100,-54.81,-68.31,42.8,8.05
9,Hobart,71,AU,1573711178,34,-42.88,147.33,64.4,25.28
10,Lorengau,50,PG,1573711178,68,-2.02,147.27,84.27,6.46
11,Sioux Lookout,90,CA,1573711178,78,50.1,-91.92,15.8,10.29
12,Oga,75,IT,1573711178,91,46.46,10.35,19.4,1.12
13,Severomuysk,99,RU,1573711178,89,56.17,113.57,-12.09,3.87
14,Qaanaaq,67,GL,1573711178,58,77.48,-69.36,15.73,7.47
15,Airai,0,TL,1573711179,33,-8.93,125.41,86.61,8.3
16,Port Macquarie,0,AU,1573711179,35,-31.43,152.91,71.6,11.41
17,Thessalon,90,CA,1573711179,86,46.26,-83.55,28.4,6.93
18,Dambulla,75,LK,1573711179,66,7.87,80.65,85.86,7.31
19,Kavaratti,26,IN,1573711179,70,10.57,72.64,82.92,6.22
20,Kahului,1,US,1573711179,74,20.89,-156.47,78.8,11.41
21,Vila Franca do Campo,75,PT,1573711180,59,37.72,-25.43,62.6,10.29
22,Ribeira Grande,28,PT,1573711180,76,38.52,-28.7,58.33,11.56
23,Arraial do Cabo,85,BR,1573711180,87,-22.97,-42.02,73.47,22.46
24,Georgetown,13,GY,1573711180,81,6.8,-58.16,81.95,12.19
25,Upernavik,100,GL,1573711180,67,72.79,-56.15,19.62,8.72
26,Dikson,62,RU,1573711180,95,73.51,80.55,3.51,6.89
27,New Norfolk,35,AU,1573711180,34,-42.78,147.06,64.4,25.28
28,Shimoda,75,JP,1573711181,49,34.7,138.93,69.8,14.99
29,Oksfjord,20,NO,1573711181,80,70.24,22.35,33.8,12.75
30,Yeppoon,11,AU,1573711181,40,-23.13,150.74,89.6,11.41
31,Castro,90,CL,1573711181,100,-42.48,-73.76,51.8,4.7
32,Champerico,90,MX,1573711181,82,16.38,-93.6,68.0,3.36
33,Mahebourg,40,MU,1573711181,69,-20.41,57.7,80.6,11.41
34,Hilo,90,US,1573711182,69,19.71,-155.08,78.8,4.7
35,Caravelas,45,BR,1573711182,94,-17.73,-39.27,71.44,0.07
36,Bambous Virieux,40,MU,1573711182,69,-20.34,57.76,80.6,11.41
37,San Patricio,74,PY,1573711182,99,-26.98,-56.83,66.27,3.42
38,Bubaque,72,GW,1573711182,75,11.28,-15.83,82.8,9.91
39,Avarua,80,CK,1573711183,88,-21.21,-159.78,75.2,11.41
